Topic,BM25_MAP,JM_LM_MAP,My_PRM_MAP,BM25_Precision@10,JM_LM_Precision@10,My_PRM_Precision@10,BM25_DCG@10,JM_LM_DCG@10,My_PRM_DCG@10
R101,0.6828231292517006,0.6256802721088436,0.6328231292517007,0.5,0.5,0.5,2.7533279132226793,2.640180720457221,2.6665807709250617
R102,0.6543542529532269,0.7753946772463015,0.6394761624855828,0.6,0.6,0.4,2.8698227856723886,2.790231424865667,2.076393327675897
R103,0.3311379915567276,0.5036280763249757,0.4559913647332639,0.5,0.6,0.5,2.0070698857492903,2.996387907565243,2.8332474375917283
R104,0.5073192392046079,0.8191565795261856,0.5405312501816179,0.1,1.0,0.3,1.0,4.543559338088346,1.0207713800552622
R105,0.28744815134187723,0.7134494994169917,0.30449100500853,0.0,0.8,0.0,0.0,3.112882780014953,0.0
R106,0.2244047619047619,0.5173076923076922,0.20686274509803923,0.2,0.3,0.2,0.7430599943425638,1.7890648263178879,0.7430599943425638
R107,0.29638752052545153,0.35507246376811596,0.20341880341880345,0.2,0.2,0.2,0.9642630869047908,1.0616063116448506,0.7430599943425638
R108,0.06060065205492491,0.42735042735042733,0.10042735042735042,0.0,0.2,0.1,0.0,1.1309297535714575,0.3562071871080222
R109,0.35276592006718654,0.6432779934116509,0.3880412540215218,0.1,0.6,0.3,0.38685280723454163,3.207323081247355,1.14527201342591
R110,0.2846553446553447,0.25709401709401714,0.4492640692640692,0.2,0.3,0.4,0.7201861405678749,1.044089990006545,1.9234281553152024
R111,0.27579365079365076,0.6388888888888888,0.3206349206349206,0.3,0.3,0.3,1.0050053972270843,1.5616063116448506,1.076393327675897
R112,0.44176887926887926,0.6403138528138529,0.3617965367965368,0.5,0.5,0.3,1.8698227856723888,2.466327575426997,1.076393327675897
R113,0.4405140340938889,0.696597805788982,0.44747353651605576,0.6,0.8,0.5,2.0564223974088662,3.7425293424243646,1.7782662555195736
R114,0.6388235294117647,0.9428571428571428,0.38747863247863246,0.4,0.5,0.4,2.2762017669973673,2.894939644978184,1.5033476796842518
R115,0.3666666666666667,0.5166666666666666,0.08907919777484995,0.2,0.2,0.0,1.0616063116448506,1.3868528072345416,0.0
R116,0.4440727965422821,0.37375007477593625,0.37044993485115885,0.3,0.4,0.3,1.9319597492354388,1.6078773827878683,0.93786303643695
R117,0.4102564102564103,0.3686868686868687,0.7666666666666666,0.2,0.2,0.3,1.0616063116448506,0.9306765580733931,1.9199945798893454
R118,0.2785714285714285,0.16666666666666666,0.5575757575757575,0.3,0.1,0.2,1.0530747177246143,0.38685280723454163,1.3868528072345416
R119,0.15263157894736842,0.23154761904761906,0.20203754578754576,0.1,0.1,0.1,0.2890648263178879,0.5,0.31546487678572877
R120,0.38942161687259724,0.5241071428571428,0.33703860377302114,0.5,0.5,0.4,1.9340242377576446,2.558524871128293,1.4498282057830432
R121,0.2724729621982836,0.6158337285451948,0.24924587840552323,0.1,0.5,0.1,0.2890648263178879,2.894939644978184,0.31546487678572877
R122,0.5094663664508865,0.5161332710822966,0.5513892868920464,0.3,0.5,0.5,1.5900948219818691,2.238893032100931,1.8080998814132714
R123,0.1075,0.46060606060606063,0.10109126984126983,0.1,0.1,0.1,0.38685280723454163,1.0,0.3333333333333333
R124,0.17227494727494727,0.5804229295608606,0.24673733129615483,0.1,0.4,0.1,0.43067655807339306,2.2868837451814152,0.6309297535714575
R125,0.6890764701248572,0.6278390726920138,0.7522868130227001,0.7,0.5,0.8,3.499469348081801,2.851115894139333,3.894761127969284
R126,0.876163560570561,0.72691992218308,0.7942152509393265,0.9,0.6,0.8,4.254494511770458,3.1095351003307012,3.756675592906931
R127,0.3947186147186147,0.25037878787878787,0.4411111111111111,0.4,0.2,0.5,1.55435790888666,0.6759176335524295,1.790231424865667
R128,0.08395095841904353,0.34542908072319833,0.09332195796979079,0.0,0.1,0.0,0.0,1.0,0.0
R129,0.28505291328920546,0.6808853395957662,0.230182361026121,0.1,0.7,0.2,0.2890648263178879,3.637999639320748,0.6895405204413555
R130,0.3833333333333333,0.4444444444444444,0.8055555555555555,0.3,0.3,0.3,1.1737365524159569,1.2868837451814152,1.9306765580733931
R131,0.3561494252873563,0.12619505494505495,0.16108091787439613,0.2,0.0,0.2,1.1309297535714575,0.0,0.6164948724497099
R132,0.3371308523409363,0.2144166251231195,0.17456876456876455,0.2,0.3,0.3,1.5,1.0759485714993031,1.1065941916258226
R133,0.38116883116883116,0.28714285714285714,0.2543198906356801,0.3,0.4,0.2,1.394939644978184,1.2940702235449721,0.7201861405678749
R134,0.1896092503987241,0.23314942528735633,0.21534391534391534,0.2,0.2,0.2,0.6759176335524295,0.8333333333333333,0.7461414348591218
